word,polarity
Kadir Gecesi,0.0
haram,-0.5
müzehhip,0.88
tezhipçi,0.88
enişte,0.0
kandil,0.88
DGM,0.0
Devlet Güvenlik Mahkemesi,0.0
vergi levhası,0.0
Van kedisi,0.0
şeyhülislam,0.0
keçiboynuzu pekmezi,0.0
harnup pekmezi,0.0
hala,0.0
kızılcık şerbeti,0.0
misvak,0.0
Bektaşilik,-0.519
ramazan topu,0.0
ilçe,0.0
ayet,0.0
çeşmibülbül,0.0
çeşm-i bülbül,0.0
sabah namazı,0.0
ortaoyunu,0.0
orta oyunu,0.0
kuzin,0.0
kuruş,0.0
Bektaşi,0.0
fizibilite çalışması,0.0
rekat,0.0
has,0.0
dergah,0.0
tekke,0.0
zaviye,0.0
çapari,0.0
pastırmalı pide,0.0
lohusa şerbeti,0.0
iftar,0.0
iftar saati,0.0
iftar vakti,0.0
dünür,0.0
fitre,0.0
taksim,0.0
Mevlevilik,0.0
iftar etmek,0.0
oruç açmak,0.0
akşam namazı,0.0
sahura kalkmak,0.0
mahrem,0.0
Berat Kandili,0.0
cemevi,0.0
cem evi,0.0
kelaynak,0.0
dirhem,0.0
rahle,0.0
kurna,0.0
ebru,0.0
Mevlevi ayini,0.0
aşiret,0.0
fırdöndü,0.0
sikke,0.0
hadis,0.0
çerkez tavuğu,0.0
imza sirküleri,0.0
imza sirküsü,0.0
oruç yemek,-0.49
haydari,0.0
ikindi ezanı,0.0
ezogelin çorbası,0.0
ezogelin,0.0
türbe,0.0
uzun hava,0.0
kıymalı pide,0.0
selamlık,0.0
lonca,0.0
Alevilik,0.0
dut pekmezi,0.0
yayla çorbası,0.0
Mevlit Kandili,0.0
gerdeğe girmek,0.88
taharet musluğu,0.0
sevap,0.488
TBMM,0.0
Türkiye Büyük Millet Meclisi,0.0
tefsir,0.0
musalla taşı,0.0
mevlit,0.88
mevlid,0.88
lohusa şekeri,0.0
pehlivan,0.487
nazar değmek,-0.502
nazara gelmek,-0.502
göze gelmek,-0.502
gerdek,0.88
zoka,0.0
Regaip Kandili,0.0
Regaib Kandili,0.0
kına gecesi,0.488
namahrem,-0.512
dünür,0.0
kaymakamlık,0.0
bayram namazı,0.88
oya,0.0
öğle namazı,0.88
taharetlenmek,0.88
cenaze namazı,0.88
meddah,0.498
Alevi,0.88
mesir macunu,0.0
armut pekmezi,0.0
mahya,0.498
iftar yemeği,0.88
iftar,0.88
Halveti,0.88
mehter takımı,0.0
mehterhane,0.0
Sırat Köprüsü,0.88
şalgam,0.0
sıpa,0.0
sabah ezanı,0.88
secde etmek,0.478
tarazlanmak,0.478
halaoğlu,0.0
çini,0.0
hatim indirmek,0.88
zeamet,0.0
rubai,0.0
ayçöreği,0.0
ay çöreği,0.0
babaanne,0.0
halay,0.0
Hanefi,0.88
nar şerbeti,0.0
şalgam suyu,0.0
fıkıh,0.88
TCMB,0.0
Türkiye Cumhuriyet Merkez Bankası,0.0
Türkiye Cumhuriyeti Merkez Bankası,0.0
akide şekeri,0.0
akide,0.0
dirlik,0.0
Aşure Günü,0.0
sumak,0.0
yatsı namazı,0.0
günlük ağacı,0.0
günlük,0.0
sığla,0.0
sığla ağacı,0.0
Liquidambar Orientalis,0.0
Kangal,0.0
Sivas Kangal,0.0
kısır,0.0
Miraç Kandili,0.0
katık,0.0
Yargıtay,0.0
mevlit,0.0
mevlid,0.0
açma,0.0
güllaç,0.0
akşam ezanı,0.0
yağlı güreş,0.0
fizibilite raporu,0.0
şerefe,0.0
Yörük,0.0
hacıyağı,0.0
Nurculuk,0.0
muhtar,0.0
nar ekşisi,0.0
Ramazan davulcusu,0.0
teravih namazı,0.0
teravih,0.0
demirhindi şerbeti,0.0
sahur yemeği,0.0
sahur,0.0
jandarma,0.0
secde,0.0
göbek taşı,0.0
börek,0.0
yufka,0.0
şey,0.0
nesne,0.0
obje,0.0
nefes almak,0.498
nefes alıp vermek,0.498
solumak,0.498
şey,0.0
solumak,0.0
bütün,0.0
organizma,0.0
canlı,0.0
hıçkırmak,0.0
nefes vermek,0.0
hayat,0.88
yaşam,0.88
dirim,0.88
hapşırmak,0.0
hapşurmak,0.0
aksırmak,0.0
hücre,0.0
göze,0.0
nefes almak,0.0
kendiliğinden,0.0
otomatik olarak,0.0
otomatikman,0.0
fail,0.0
müsebbib,0.0
insan,0.0
kişi,0.0
şahıs,0.0
birey,0.0
kimse,0.0
fert,0.0
balgam çıkarmak,0.0
nispi,0.0
nisbi,0.0
göreceli,0.0
izafi,0.0
kısmen,0.0
göz kırpmak,0.0
dökmek,0.0
gayri ihtiyari hareket etmek,-0.48
irade dışı hareket etmek,-0.48
istemdışı hareket etmek,-0.48
irade dışı birşey yapmak,-0.47
gayriihtiyari hareket yapmak,-0.47
davranmak,0.0
obur,-0.47
kazanmak,0.88
edinmek,0.88
soyut,0.0
soğuk davranmak,-0.47
hayvan,0.0
somut,0.0
titremek,0.0
titremek,0.0
dinlenmek,0.0
hareketsiz durmak,0.0
hareket etmek,0.0
hareket halinde olmak,0.0
uyumak,0.0
bitki,0.0
nebat,0.0
cisim,0.0
nesne,0.0
obje,0.0
horlamak,-0.472
uykuya dalmak,0.0
uyumak,0.0
doğal nesne,0.0
yatmak,0.0
madde,0.0
kalkmak,0.0
uyanmak,0.0
uyandırmak,0.0
besin,0.0
gıda,0.0
uyutmak,0.0
etkilemek,0.0
fiziksel olarak etkilemek,0.0
eşya,0.0
daima,0.0
her zaman,0.0
hep,0.0
her zaman,0.0
sonsuza kadar,0.0
sonsuza dek,0.0
her zaman,0.0
uyanık olmak,0.0
sürekli,0.0
parça,0.0
unsur,0.0
kalem,0.0
numune,0.0
örnek,0.0
birey,0.0
psikolojik özellik,0.0
soyutlama,0.0
uyutmak,0.0
bayıltmak,0.0
narkoz vermek,0.0
biliş,0.0
vukuf,0.0
motivasyon,0.0
güdülenme,0.0
arasıra,0.0
ara sıra,0.0
bazen,0.0
his,0.0
duygu,0.0
sakinleştirmek,-0.731
bazen,0.0
bazan,0.0
uyarmak,0.478
canlandırmak,0.478
nokta,0.0
yer,0.0
mahal,0.0
mekan,0.0
biçim,0.0
şekil,0.0
form,0.0
dış görünüş,0.0
bayılmak,-0.74
zaman,0.0
vakit,0.0
ayılmak,0.498
kendine gelmek,0.498
uzay,0.0
feza,0.0
mekan,0.0
dinlendirmek,0.917
canlandırmak,0.917
dinlenmek,0.75
durum,0.0
vaziyet,0.0
hal,0.0
keyfiyet,0.0
germek,-0.731
gevşetmek,0.88
rahatlatmak,0.88
gerilmek,-0.731
gerginleşmek,-0.731
gevşemek,1.0
olay,0.0
hadise,0.0
vaka,0.0
alışkın,0.0
alışık,0.0
insan eylemi,0.0
eylem,0.0
fiil,0.0
uzatmak,0.0
topluluk,0.0
asidik,0.0
asitli,0.0
alkali,0.0
sahip olunan şey,0.0
özellik,0.0
bazik,0.0
amfoterik,0.0
ilişki,0.0
gülümsemek,0.508
toplumsal ilişki,0.0
iletişim,0.0
miktar,0.0
nicelik,0.0
kemiyet,0.0
ayrıca,0.0
olgu,0.0
vakıa,0.0
iş,0.0
şey,0.0
kibarlık,0.88
kahkaha atmak,0.88
başarı,0.488
gülmek,0.81
başarı,0.488
görünmek,0.0
eylem,0.0
fiil,0.0
hareket,0.0
surat yapmak,0.0
aktif,0.0
hareketli,0.0
yol,0.0
duş almak,0.0
duş yapmak,0.0
biraz,0.0
hiperaktif,0.0
aşırı hareketli,0.0
etkileşim,0.0
yıkanmak,0.0
temizlenmek,0.88
paklanmak,0.88
temas,0.0
ilişki,0.0
hareketsiz,0.0
yıkamak,0.0
gargara yapmak,0.0
nadiren,0.0
seyrek olarak,0.0
bowling oynama,0.0
aktif,0.0
hareketli,0.0
canlı,0.0
iktisap,0.0
edinim,0.0
taramak,0.0
sebep olma,0.0
neden olma,0.0
sebep oluş,0.0
neden oluş,0.0
ayrılma,0.0
atıl,-0.47
keşif,0.553
tasfiye,-0.625
elden çıkarma,-0.625
kendine bakmak,0.0
uygulama,0.0
makyaj yapmak,0.0
ruj sürmek,0.0
tahrik etmek,0.0
hareket ettirmek,0.0
harekete geçirmek,0.0
kurtarma,0.583
kurtarış,0.583
pasif,-0.731
kaçış,-0.575
kaçma,-0.575
firar,-0.575
gösteri,0.0
numara,0.0
tesadüfen,0.0
bitiştirmek,0.0
yanaştırmak,0.0
süslenip püslenmek,0.88
güzel giyinmek,0.88
şık giyinmek,0.88
şık şık giyinmek,0.88
aktif,1.0
etkin,1.0
faal,1.0
maalesef,-0.49
ne yazık ki,-0.49
giyinmek,0.0
ulaşma,0.0
varma,0.0
vusul,0.0
varış,0.0
sönmüş,0.0
doğuş,0.478
ortaya çıkma,0.478
zuhur,0.478
giriş,0.0
duhul,0.0
kilo vermek,0.917
incelmek,0.917
zayıflamak,0.917
kilo almak,-0.731
şişmanlamak,-0.731
giyinmek,0.0
kayıt,0.0
mevcut,0.928
fiili,0.928
denemek,0.0
dönüş,0.0
eve dönüş,0.0
yurda dönüş,0.0
muhtemel,0.0
potansiyel,0.0
giydirmek,0.0
akut,-1.0
kronik,-1.0
süreğen,-1.0
süregen,-1.0
soyunmak,0.0
veda,-0.492
ayrılma,-0.492
giymek,0.0
derhal,0.0
hemen,0.0
giyinmek,0.0
döllemek,0.0
ilkah etmek,0.0
göç,0.0
göçme,0.0
muhaceret,0.0
göç,0.0
muhaceret,0.0
hamile bırakmak,0.0
gebe bırakmak,0.0
alkolik,-0.482
hamile kalmak,0.0
gebe kalmak,0.0
kümülatif,0.0
çıkma,0.0
çıkış,0.0
huruç,0.0
çoğalmak,0.0
firar,-0.642
kaçış,-0.642
doğurmak,0.88
Hicret,0.0
sevk,0.0
sevkiyat,0.0
sevkıyat,0.0
orgazm,0.508
hamile olmak,0.0
gebe olmak,0.0
çocuk beklemek,0.0
ulaşma,0.0
kavuşma,0.0
erme,0.0
bebek beklemek,0.0
rekor,0.0
kuluçkaya yatmak,0.0
başarı,0.498
hadım etmek,-0.857
enemek,-0.857
iğdiş etmek,-0.857
büyük başarı,0.88
kısırlaştırmak,-0.69
başarısızlık,-0.5
muvaffakiyetsizlik,-0.5
başarısızlık,-0.956
tahriş etmek,-0.75
yatıştırmak,0.0
azaltmak,0.0
rahatlatmak,0.88
geçirmek,0.88
hafifletmek,0.88
azaltmak,0.88
yatıştırmak,0.88
kayıp,-1.0
zayi,-1.0
teslim olma,-0.837
acıtmak,-0.964
birdenbire,0.0
aniden,0.0
bedensel rahatsızlık vermek,-0.67
acı çekmek,-0.946
bilerek,0.0
kasten,0.0
kasıtlı olarak,0.0
olmak,0.0
tutulmak,0.0
yakalanmak,0.0
iyi olmak,1.0
sağlıklı olmak,1.0
afiyette olmak,1.0
kendini iyi hissetmek,1.0
istemeden,-0.502
yanlışlıkla,-0.502
kazara,-0.502
geçirmek,0.0
olmak,0.0
ağlamak,-0.731
yaşarmak,-0.778
hata,-0.956
yanlış,-0.956
leke,-0.964
yaralamak,-0.964
mecruh etmek,-0.964
dikkatsizlik,-0.964
gaf,-0.837
pot,-0.837
çekmek,0.0
işemek,0.0
çiş yapmak,0.0
küçük abdest bozmak,0.0
küçük abdestini yapmak,0.0
devrilme,0.0
vücuttan atmak,0.0
iktisap,0.0
elde etme,0.0
sıçmak,0.0
dışkılamak,0.0
büyük aptes bozmak,0.0
kaka yapmak,0.0
yestehlemek,0.0
tuvalete çıkmak,0.0
çıkmak,0.0
kabız etmek,-0.875
kabız yapmak,-0.875
pek tutmak,-0.875
alım,0.0
alma,0.0
satın alma,0.0
yorulmak,-1.0
acilen,0.0
ivedilikle,0.0
yorulmak,-1.0
kusmak,-0.48
çıkarmak,-0.48
istifrağ etmek,-0.48
alım,0.0
satın alma,0.0
satınalma,0.0
alışveriş,0.0
donmak,0.0
rahatsız olmak,-0.932
tedavi etmek,0.553
sağaltmak,0.553
miras,0.0
ele geçirme,0.0
temellük etme,0.0
temellük,0.0
müsadere,-0.48
el koyma,-0.48
müsadere,-0.956
zor alım,-0.956
zoralım,-0.956
olumlu,0.88
pozitif,0.88
iyileştirmek,0.88
sağaltmak,0.88
kamulaştırma,0.0
yardımcı olmak,0.88
rahatlamak,0.478
haciz,-0.482
hükmetmek,0.0
ameliyat etmek,0.0
ilaçla tedavi etmek,0.613
el koyma,-0.522
gasp,-0.522
gözaltına alma,-0.964
fetih,-0.857
geri alma,0.0
alış,0.0
enjekte etmek,0.0
zerketmek,0.0
aşılamak,0.0
hastalanmak,-0.956
solgunlaşmak,-0.956
üşütmek,-0.5
nezle olmak,-0.5
açık artırma,0.0
açık arttırma,0.0
müzayede,0.0
korkusuz,1.0
enfekte etmek,0.0
dezenfekte etmek,0.0
kurtarma,0.478
kurtarış,0.478
burkmak,0.0
ebediyen,0.0
kötüleşmek,-0.964
düzelmek,0.667
iyileşmek,0.667
sağlığına kavuşmak,0.88
güçsüzleşmek,0.0
uygulama,0.0
tatbikat,0.0
hayata geçirme,0.0
aynen ifa,0.0
mekanizma,0.0
sakin,0.0
ilüzyon,0.0
numara,0.0
icra,0.0
toplamak,0.0
canlandırmak,0.478
gençleşmek,0.488
otomasyon,0.0
ayıltmak,0.488
canlandırmak,0.88
canlanmak,0.88
tahrik,0.0
egzersiz yapmak,0.728
yuvarlama,0.0
antreman yapmak,0.0
çalışmak,0.0
çalıştırmak,0.0
tükürmek,0.0
canlı,1.0
diri,1.0
ölü,-0.731
kızarmak,-0.857
bembeyaz kesilmek,-0.714
kireç gibi olmak,-0.714
bronzlaşmak,0.0
dışarı atmak,0.0
ezmek,0.0
çiğnemek,0.0
itiş,0.0
bastırma,0.0
basma,0.0
basış,0.0
değişmek,0.0
çekme,0.0
çekiş,0.0
oybirliğiyle,0.478
oybirliği ile,0.478
oy birliği ile,0.478
oy birliğiyle,0.478
kaldırma,0.0
atma,0.0
hırslı,0.0
gitgide,0.0
giderek,0.0
adım adım,0.0
geğirti,0.0
geğirme,0.0
hırssız,0.0
jöleleşmek,0.0
pelteleşmek,0.0
dönüşmek,0.0
dönüştürmek,0.0
çevirmek,0.0
döndürmek,0.0
zıplama,0.0
kalmak,0.0
durmak,0.0
devam etmek,0.0
sürmek,0.0
takip etmek,0.0
farklılaşmak,0.0
atış,0.0
analog,0.0
dijital,0.0
vurma,0.0
vuruş,0.0
değişmek,0.0
değiştirmek,0.0
çarpma,0.0
çarpış,0.0
analitik,0.0
camlaşmak,0.0
değiştirmek,0.0
cansız,-0.522
ölü,-0.522
yumruk,0.0
tekme,0.0
tekmeleme,0.0
vahşileştirmek,0.0
frikik,0.0
serbest vuruş,0.0
korner,0.0
köşe vuruşu,0.0
köşe atışı,0.0
vahşileşmek,-0.48
alkalileştirmek,0.0
alkalileşmek,0.0
öpücük,0.467
buse,0.467
öpme,0.467
öpüş,0.467
yakalama,0.0
tutma,0.0
önceki,0.0
bırakmak,0.0
iç içe geçme,0.0
etkilemek,0.0
izleyen,0.0
takip eden,0.0
müteakip,0.0
otopsi,0.0
bir sonraki,0.0
sıradaki,0.0
müteakip,0.0
tersine dönmek,0.0
kontrol,0.0
sağlık kontrolü,0.0
check-up,0.0
checkup,0.0
çekap,0.0
karşılaştırma,0.0
mukayese,0.0
kıyaslama,0.0
kontrol,0.0
dağılmak,0.0
retrograd,0.0
anterograd,0.0
öğle öncesi,0.0
şekil değiştirmek,0.0
biçim değiştirmek,0.0
okşama,0.0
öğle sonrası,0.0
ön,0.0
arka,0.0
biçimlendirmek,0.0
şekillendirmek,0.0
haddelemek,0.0
sarmak,0.0
küreleşmek,0.0
toplaşmak,0.0
muhtemelen,0.0
büyük ihtimalle,0.0
durum değiştirmek,0.0
uygun,0.0
doğru,0.0
belirleme,0.0
tespit etme,0.0
belirleme,0.0
Bertillon sistemi,0.0
Bertillon sınıflandırması,0.0
teşhis,0.0
tanı,0.0
~leşmek,0.0
uymak,0.0
uyum sağlamak,0.0
adapte olmak,0.0
azalmak,0.0
düşmek,0.0
küçülmek,0.0
arttırmak,0.0
etki,0.0
büyütmek,0.0
artmak,0.0
yükselmek,0.0
dikenli,0.0
artmak,0.0
çoğalmak,0.0
aslında,0.0
esasında,0.0
fiilen,0.0
gerçekten,0.0
seçim,0.0
artmak,0.0
arttırmak,0.0
çoğaltmak,0.0
yükseltmek,0.0
birikmek,0.0
yığılmak,0.0
karar verme,0.0
belirleme,0.0
tespit etme,0.0
asimile olmak,-0.482
birdenbire,0.0
aniden,0.0
birden,0.0
asimile etmek,-0.5
yön değişikliği,0.0
farklılaşmak,0.0
atama,0.0
tayin,0.0
farklılaştırmak,0.0
dönüştürmek,0.0
değiştirmek,0.0
hareket,0.0
ezbere,0.0
ferahlatmak,0.593
manevra,0.0
taşınma,0.0
örneğin,0.0
mesela,0.0
numara,0.0
yol,0.0
üstünü değişmek,0.0
üstünü değiştirmek,0.0
boyu değişmek,0.0
değiştirmek,0.0
modifiye etmek,0.0
alenen,0.0
adım,0.0
tamlamak,0.0
ortadan kaldırmak,0.0
yok etmek,0.0
çare,0.0
geçici çözüm,0.0
dalgın,0.0
soymak,0.0
seçim,0.0
ayıklamak,0.88
temizlemek,0.88
çekici,1.0
güzel,1.0
plebisit,0.0
ayıklamak,0.508
temizlemek,0.508
referandum,0.0
halk oylaması,0.0
halkoylaması,0.0
seçim,0.0
koparmak,0.0
didiklemek,0.0
boğazını temizlemek,0.0
ortalama olarak,0.0
ortalamada,0.0
oy,0.0
rey,0.0
karizmatik,0.88
çıkarmak,-0.731
uzaklaştırmak,-0.731
oy,0.0
rey,0.0
çekiciliği olmayan,-0.731
çekici olmayan,-0.731
temizlemek,0.88
arıtmak,0.88
mükerrer oy,0.0
ters doğum,-0.472
temizlemek,0.88
tıkıştırmak,-0.946
sezaryen,0.0
sabırla,0.88
sabırlı bir şekilde,0.88
eklemek,0.508
ilave etmek,0.508
gol,0.478
sayı,0.478
dahil etmek,0.0
eklemek,0.0
katmak,0.0
basket,0.0
değişim,0.0
değişiklik,0.0
parlak,0.803
gelecek vaadeden,0.803
gelecek vaad eden,0.803
gelecek vaat eden,0.803
tasarruf,0.88
hafifçe,0.0
noktalama işaretlerini koymak,0.478
ruhsatsız,-0.67
anayasal,0.0
köreltmek,-0.946
taşlaştırmak,0.0
ikame,0.0
canlandırmak,1.0
birleştirmek,0.488
cesurca,0.88
terfi,1.0
yükseltme,1.0
soymak,-0.492
rütbe indirme,-0.946
temizlemek,0.88
açmak,0.88
durum değişikliği,0.0
temizlemek,0.667
açmak,0.478
resmen,0.0
tadilat,0.0
yakmak,-0.57
bir aşamadan diğerine geçme,0.0
içini temizlemek,0.0
direniş,-0.482
karşı koyma,-0.482
dayanma,-0.482
mukavemet,-0.482
reaksiyon,-0.909
tepki,-0.909
aksülamel,-0.909
tepki,-0.932
red,-0.512
düzeltmek,1.0
farkında,0.0
bilincinde,0.0
ayırdında,0.0
tashih etmek,0.668
düzeltmek,0.668
redakte etmek,0.668
yayına hazırlamak,0.668
bihaber,-0.472
kesmek,-0.502
sansürlemek,-0.522
tahrif etmek,-0.731
boykot,-0.857
ıslah etmek,0.88
yola getirmek,0.88
suiistimal etmek,-0.964
kötüye kullanmak,-0.964
kötüleşmek,-0.731
beter olmak,-0.731
kötüye gitmek,-0.731
sınırdışı etme,-0.482
düşmek,-0.964
iyileşmek,0.875
düzelmek,0.875
çevikleşmek,0.508
iyileştirmek,0.875
geliştirmek,0.875
işten çıkarma,-0.48
sona erme,-1.0
sona erdirme,-1.0
sona eriş,-1.0
bitme,-1.0
bitirme,-1.0
bitiş,-1.0
bitirme,-0.731
bitiriş,-0.731
halletmek,0.478
beter etmek,-0.731
kötüleştirmek,-0.731
harap olmak,-0.5
ayrıştırmak,0.0
terketme,-0.837
terk etme,-0.837
ayrışmak,0.0
bozulmak,-0.49
ibraname,-0.667
kovma,-1.0
şutlama,-1.0
atma,-1.0
işten atma,-1.0
mahvetme,-0.917
yıkma,-0.917
yıkım,-0.917
diplomatik bir şekilde,0.0
diplomatik şekilde,0.0
diplomatikçe,0.0
konservelemek,0.0
ıslatmak,0.0
öldürme,-0.917
katletme,-0.917
katil,-0.917
ötanazi,-0.492
adam öldürme,-0.837
cinayet,-0.837
basmak,0.0
nemlendirmek,0.0
intihar,-0.837
kavurmak,0.0
yakmak,0.0
kurutmak,0.0
kurumak,0.0
kesme,0.0
açılmak,0.88
zehirleme,-0.956
güçlenmek,0.917
kuvvetlenmek,0.917
güçlendirmek,1.0
tahkim etmek,1.0
spazm,-0.482
zayıflamak,-0.731
zayıflatmak,-0.946
güçsüzleştirmek,-0.946
güçsüz düşürmek,-0.946
sönme,-0.857
sönüş,-0.857
sönümlenme,-0.857
kürtaj,-0.667
çocuk aldırma,-0.667
güzel,1.0
yoğunlaşmak,0.478
iptal,-0.492
iptal,-0.75
distile olmak,0.0
manzaralı,0.478
distile etmek,0.0
çirkin,-0.731
tersine dönme,0.0
ters dönme,0.0
büyümek,0.88
başlama,-0.731
büyümek,0.508
kurmak,0.88
oluşturmak,0.88
teşkil etmek,0.88
iyiliksever,0.75
iyi,0.75
kötü niyetli,-0.731
kısıtlamak,-0.47
sınırlandırmak,-0.47
ayırmak,-0.837
sınırlarını çizmek,-0.837
yayılmak,0.88
sınırlamak,-0.522
kurma,0.88
koyultmak,0.498
koyulaştırmak,0.498
kıvamlandırmak,0.498
koyulmak,0.488
koyulaşmak,0.488
kıvamlanmak,0.488
optimum,0.0
optimal,0.0
deokside etmek,0.81
redükte etmek,0.81
redüklemek,0.81
indirgemek,0.81
oksitlemek,-1.0
okside etmek,-1.0
oksitlenmek,-0.47
okside olmak,-0.47
pişirme,0.0
paslanmak,-0.964
çekmek,0.0
esnemek,0.0
uzamak,0.0
küçülmek,-0.68
ufalmak,-0.68
büzüşmek,-0.472
buruşmak,-0.472
kırışmak,-0.472
buruş buruş olmak,-0.472
kırış kırış olmak,-0.472
büyük,1.0
küçük,-0.731
birleştirmek,0.88
kısaltmak,-0.47
iyileştirme,0.488
geliştirme,0.488
ıslah,0.488
sakinleşmek,0.0
azalmak,0.0
durulmak,0.0
yatışmak,0.0
hafiflemek,0.0
yatıştırmak,0.88
ilerleme,0.88
gelişme,0.478
gelişim,0.478
inkişaf,0.478
tekemmül,0.478
temizlik,0.488
katlamak,0.0
hızla çoğalmak,0.88
hızla artmak,0.88
yaşlanmak,0.0
ilerlemek,1.0
yol katetmek,1.0
gelişme kaydetmek,1.0
gerilemek,-0.964
geri gitmek,-0.964
geriye gitmek,-0.964
dinazorlaşmak,-0.522
yaşlandırmak,-0.731
olgunlaşmak,0.88
olmak,0.88
siyahi,0.0
olgunlaşmak,0.88
epilasyon,0.0
gençleştirmek,1.0
tıraş,0.0
traş,0.0
tıraş olma,0.0
traş olma,0.0
evrimleşmek,0.498
yıkanma,0.88
yıkama,0.88
haline gelmek,0.0
dönüşmek,0.0
esmer,0.0
geliştirmek,0.508
duş,0.0
düzeltme,0.88
tashih,0.88
nasır tutmak,-0.47
nasır bağlamak,-0.47
şişmek,0.0
fırlamak,0.0
reform,0.88
ıslahat,0.88
iyileştirme,0.88
düzeltme,0.88
genişletmek,0.0
cesur,0.75
dekore etme,0.498
bozmak,-0.964
zarar vermek,-0.472
hasar vermek,-0.472
süsleme,0.88
bezeme,0.88
tezyin,0.88
kahramanca,0.563
tamir etmek,0.88
onarmak,0.88
yamamak,0.633
yama yapmak,0.633
tamir,0.88
